WarehouseID,WarehouseName,Location,Capacity,ManagerName,PhoneNumber,CreatedAt,UpdatedAt
1,Kerrmouth Warehouse,"89494 Rogers Crossroad
Lake Spencerchester, NV 30602",1529,Alexander Sanford,+1-778-744-3194,2020-11-09 04:23:08,2024-01-17 04:52:07
2,South Philliptown Warehouse,"74958 Daniel Knolls Apt. 573
Moralesstad, MD 51299",564,Mark Lee,001-183-907-0346x111,2024-09-08 17:34:30,2024-04-24 04:59:41
3,Martinezfort Warehouse,"036 Nathan Lights Apt. 367
Kristentown, WA 67323",729,Brian Roberts,+1-051-171-5828x632,2021-03-09 18:48:40,2022-05-06 19:05:23
4,Cindyhaven Warehouse,"48367 Lopez Loop Apt. 876
Lake Joshuaview, AK 24662",1633,David Butler,+1-817-615-0477x1904,2023-04-21 13:05:45,2022-02-02 16:14:09
5,North Oscar Warehouse,"137 Stevens Route
Lake Brandon, WI 63680",689,Jeanette Douglas,001-190-539-4168x6147,2022-10-21 08:32:19,2021-05-01 09:20:37
6,Lyonshaven Warehouse,"0249 Wise Estates
Kramerfort, DC 34202",909,Victoria Allen,(240)325-1893x492,2023-09-04 00:36:34,2024-10-03 12:19:31
7,Lindseyton Warehouse,"41261 Hill Keys
South Kathryn, WA 34474",1095,Dawn Mcbride,996.853.8983,2021-07-14 18:02:40,2022-05-23 18:22:18
8,West Erikstad Warehouse,"Unit 7190 Box 6006
DPO AP 03066",1015,Chris Hall,001-944-703-0992x1589,2020-06-02 02:42:27,2022-04-10 09:20:48
9,Leemouth Warehouse,"0830 Daniels Club
Leonardmouth, MA 79378",1432,John Cantrell,+1-690-450-2182x583,2023-05-08 06:49:13,2021-08-16 02:59:09
10,Stephensmouth Warehouse,"427 Douglas Gardens Apt. 709
Lake Andrewchester, ND 30785",1734,Amanda Hernandez,211.644.9391,2020-07-31 07:58:40,2023-05-23 10:11:12
